(   SD)            0 | ⚡E:  4.664e+04 | Max Force:  1.230e+04 | Gamma:  1.000e+00
(   SD)          250 | ⚡E:  1.973e+04 | Max Force:  1.004e+03 | Gamma:  1.513e-03
(   SD)          500 | ⚡E:  1.818e+04 | Max Force:  9.247e+02 | Gamma:  1.528e-04
(   SD)          750 | ⚡E:  1.778e+04 | Max Force:  6.752e+02 | Gamma:  2.121e-04
(   SD)         1000 | ⚡E:  1.757e+04 | Max Force:  5.043e+02 | Gamma:  7.352e-05
(   SD)         1250 | ⚡E:  1.685e+04 | Max Force:  4.335e+02 | Gamma:  2.206e-04
(   SD)         1500 | ⚡E:  1.550e+04 | Max Force:  3.950e+02 | Gamma:  7.647e-05
(   SD)         1750 | ⚡E:  1.553e+04 | Max Force:  3.930e+02 | Gamma:  3.573e-06
(   SD)         2000 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  4.211e-07
(   SD)         2250 | ⚡E:  1.564e+04 | Max Force:  3.929e+02 | Gamma:  7.879e-08
(   SD)         2500 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  1.264e-08
(   SD)         2750 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  2.759e-09
(   SD)         3000 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  1.519e-09
(   SD)         3250 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  1.534e-10
(   SD)         3500 | ⚡E:  1.564e+04 | Max Force:  3.929e+02 | Gamma:  3.348e-11
(   SD)         3750 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  9.949e-12
(   SD)         4000 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  3.449e-12
(   SD)         4250 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  2.986e-13
(   SD)         4500 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  1.208e-13
(   SD)         4750 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  8.961e-15
(   SD)         5000 | ⚡E:  1.564e+04 | Max Force:  3.929e+02 | Gamma:  4.228e-15
(   SD)         5250 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  2.715e-15
(   SD)         5500 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  9.413e-16
(   SD)         5750 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  1.524e-15
(   SD)         6000 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  2.880e-15
(   SD)         6250 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  9.984e-16
(   SD)         6500 | ⚡E:  1.556e+04 | Max Force:  3.929e+02 | Gamma:  8.727e-16
(   SD)         6750 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  2.618e-15
(   SD)         7000 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  1.059e-15
(   SD)         7250 | ⚡E:  1.564e+04 | Max Force:  3.929e+02 | Gamma:  1.260e-15
(   SD)         7500 | ⚡E:  1.556e+04 | Max Force:  3.929e+02 | Gamma:  5.945e-16
(   SD)         7750 | ⚡E:  1.564e+04 | Max Force:  3.929e+02 | Gamma:  1.529e-15
(   SD)         8000 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  8.416e-16
(   SD)         8250 | ⚡E:  1.556e+04 | Max Force:  3.929e+02 | Gamma:  2.525e-15
(   SD)         8500 | ⚡E:  1.556e+04 | Max Force:  3.929e+02 | Gamma:  8.753e-16
(   SD)         8750 | ⚡E:  1.560e+04 | Max Force:  3.929e+02 | Gamma:  1.041e-15
(   SD)         9000 | ⚡E:  1.556e+04 | Max Force:  3.929e+02 | Gamma:  1.062e-15
(   SD)         9250 | ⚡E:  1.556e+04 | Max Force:  3.929e+02 | Gamma:  6.821e-16
