(REFNM)            0 | ⚡E:  3.946e+03 ▶️ ⚡Amber:  3.720e+03 & ⚡Other:  2.264e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.0000 | T: 200.00
(REFNM)            1 | ⚡E:  3.150e+03 ▶️ ⚡Amber:  2.933e+03 & ⚡Other:  2.176e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 1.0000 | T: 200.00
(REFNM)            2 | ⚡E:  3.042e+03 ▶️ ⚡Amber:  2.824e+03 & ⚡Other:  2.187e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 1.0000 | T: 200.00
(REFNM)            3 | ⚡E:  2.969e+03 ▶️ ⚡Amber:  2.756e+03 & ⚡Other:  2.128e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 1.0000 | T: 200.00
(REFNM)            4 | ⚡E:  2.969e+03 ▶️ ⚡Amber:  2.756e+03 & ⚡Other:  2.128e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.7500 | T: 200.00
(REFNM)            5 | ⚡E:  3.079e+03 ▶️ ⚡Amber:  2.867e+03 & ⚡Other:  2.128e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.8000 | T: 200.00
(REFNM)            6 | ⚡E:  3.046e+03 ▶️ ⚡Amber:  2.820e+03 & ⚡Other:  2.256e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.8333 | T: 200.00
(REFNM)            7 | ⚡E:  3.674e+03 ▶️ ⚡Amber:  3.450e+03 & ⚡Other:  2.237e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.8571 | T: 200.00
(REFNM)            8 | ⚡E:  3.481e+03 ▶️ ⚡Amber:  3.260e+03 & ⚡Other:  2.209e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.8750 | T: 200.00
(REFNM)            9 | ⚡E:  3.481e+03 ▶️ ⚡Amber:  3.260e+03 & ⚡Other:  2.209e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.7778 | T: 200.00
(REFNM)           10 | ⚡E:  3.481e+03 ▶️ ⚡Amber:  3.260e+03 & ⚡Other:  2.209e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.7000 | T: 200.00
(REFNM)           11 | ⚡E:  3.481e+03 ▶️ ⚡Amber:  3.260e+03 & ⚡Other:  2.209e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6364 | T: 200.00
(REFNM)           12 | ⚡E:  3.481e+03 ▶️ ⚡Amber:  3.260e+03 & ⚡Other:  2.209e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5833 | T: 200.00
(REFNM)           13 | ⚡E:  3.640e+03 ▶️ ⚡Amber:  3.401e+03 & ⚡Other:  2.395e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6154 | T: 200.00
(REFNM)           14 | ⚡E:  3.478e+03 ▶️ ⚡Amber:  3.247e+03 & ⚡Other:  2.316e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6429 | T: 200.00
(REFNM)           15 | ⚡E:  3.478e+03 ▶️ ⚡Amber:  3.247e+03 & ⚡Other:  2.316e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6000 | T: 200.00
(REFNM)           16 | ⚡E:  3.308e+03 ▶️ ⚡Amber:  3.074e+03 & ⚡Other:  2.334e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6250 | T: 200.00
(REFNM)           17 | ⚡E:  2.976e+03 ▶️ ⚡Amber:  2.738e+03 & ⚡Other:  2.372e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6471 | T: 200.00
(REFNM)           18 | ⚡E:  2.992e+03 ▶️ ⚡Amber:  2.758e+03 & ⚡Other:  2.339e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6667 | T: 200.00
(REFNM)           19 | ⚡E:  2.958e+03 ▶️ ⚡Amber:  2.725e+03 & ⚡Other:  2.334e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6842 | T: 200.00
(REFNM)           20 | ⚡E:  2.958e+03 ▶️ ⚡Amber:  2.725e+03 & ⚡Other:  2.334e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6500 | T: 200.00
(REFNM)           21 | ⚡E:  3.048e+03 ▶️ ⚡Amber:  2.818e+03 & ⚡Other:  2.304e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6667 | T: 200.00
(REFNM)           22 | ⚡E:  3.035e+03 ▶️ ⚡Amber:  2.805e+03 & ⚡Other:  2.292e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6818 | T: 200.00
(REFNM)           23 | ⚡E:  2.669e+03 ▶️ ⚡Amber:  2.423e+03 & ⚡Other:  2.456e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6957 | T: 200.00
(REFNM)           24 | ⚡E:  2.669e+03 ▶️ ⚡Amber:  2.423e+03 & ⚡Other:  2.456e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6667 | T: 200.00
