( I_SD)            0 | ⚡E:  2.652e+03 ▶️ ⚡Amber:  2.652e+03 & ⚡Other:  0.000e+00 | Max Force:  9.861e+03 | Gamma:  1.000e-04
( I_SD)         1000 | ⚡E:  1.822e+03 ▶️ ⚡Amber:  1.822e+03 & ⚡Other:  0.000e+00 | Max Force:  1.294e+02 | Gamma:  3.392e-06
(   MC)            0 | ⚡E:  2.386e+03 ▶️ ⚡Amber:  1.822e+03 & ⚡Other:  5.642e+02 | Dihedral: 1.57e+00 | Crankshaft: 1.57e+00 | AR: 0.0000 | T: 300.00
(   MC)        10000 | ⚡E:  3.196e+03 ▶️ ⚡Amber:  2.845e+03 & ⚡Other:  3.510e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4794 | T: 285.00
(   MC)        20000 | ⚡E:  3.467e+03 ▶️ ⚡Amber:  3.118e+03 & ⚡Other:  3.491e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4759 | T: 270.00
(   MC)        30000 | ⚡E:  3.724e+03 ▶️ ⚡Amber:  2.904e+03 & ⚡Other:  8.207e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4646 | T: 255.00
(   MC)        40000 | ⚡E:  3.325e+03 ▶️ ⚡Amber:  2.510e+03 & ⚡Other:  8.151e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4637 | T: 240.00
(   MC)        50000 | ⚡E:  4.223e+03 ▶️ ⚡Amber:  3.678e+03 & ⚡Other:  5.453e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4610 | T: 225.00
(   MC)        60000 | ⚡E:  3.153e+03 ▶️ ⚡Amber:  2.266e+03 & ⚡Other:  8.864e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4574 | T: 210.00
(   MC)        70000 | ⚡E:  2.916e+03 ▶️ ⚡Amber:  2.215e+03 & ⚡Other:  7.017e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4528 | T: 195.00
(   MC)        80000 | ⚡E:  3.167e+03 ▶️ ⚡Amber:  2.573e+03 & ⚡Other:  5.940e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4478 | T: 180.00
(   MC)        90000 | ⚡E:  2.339e+03 ▶️ ⚡Amber:  1.917e+03 & ⚡Other:  4.221e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4422 | T: 165.00
(   MC)       100000 | ⚡E:  2.970e+03 ▶️ ⚡Amber:  2.419e+03 & ⚡Other:  5.506e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4357 | T: 150.00
(   MC)       110000 | ⚡E:  2.528e+03 ▶️ ⚡Amber:  2.113e+03 & ⚡Other:  4.142e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4281 | T: 135.00
(   MC)       120000 | ⚡E:  2.364e+03 ▶️ ⚡Amber:  2.055e+03 & ⚡Other:  3.085e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4196 | T: 120.00
(   MC)       130000 | ⚡E:  1.744e+03 ▶️ ⚡Amber:  1.464e+03 & ⚡Other:  2.798e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4125 | T: 105.00
(   MC)       140000 | ⚡E:  2.223e+03 ▶️ ⚡Amber:  1.797e+03 & ⚡Other:  4.266e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4048 | T: 90.00
(   MC)       150000 | ⚡E:  1.999e+03 ▶️ ⚡Amber:  1.589e+03 & ⚡Other:  4.101e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3960 | T: 75.00
(   MC)       160000 | ⚡E:  1.047e+03 ▶️ ⚡Amber:  7.083e+02 & ⚡Other:  3.386e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3861 | T: 60.00
(   MC)       170000 | ⚡E:  5.901e+01 ▶️ ⚡Amber: -2.059e+02 & ⚡Other:  2.649e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3764 | T: 45.00
(   MC)       180000 | ⚡E: -5.343e+02 ▶️ ⚡Amber: -7.709e+02 & ⚡Other:  2.366e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3673 | T: 30.00
