                0       TOTAL        AMBER     CONTACTS          SOL           HB  | TEMPERATURE
    NATIVE      0  1.4560e+03   1.7440e+03   3.6451e+01   1.9271e+03  -2.2516e+03  | -1.000
Sim Anneal      0  4.0520e+04   1.7944e+03   4.0434e+04   7.8878e+02  -2.4976e+03  | -1.000
ILSRR 40519.77445122397 40519.77445122397 
Sim Anneal      0  4.0520e+04   1.7944e+03   4.0434e+04   7.8878e+02  -2.4976e+03  | -1.000
Sim Anneal   1000  5.5875e+03   3.3226e+03   3.5237e+03   1.2187e+03  -2.4774e+03  | 960.000
Sim Anneal   2000  4.0054e+03   2.4628e+03   2.6600e+03   1.3833e+03  -2.5008e+03  | 920.000
Sim Anneal   3000  3.4126e+03   2.5824e+03   1.9960e+03   1.3263e+03  -2.4922e+03  | 880.000
Sim Anneal   4000  2.5367e+03   2.1178e+03   1.3967e+03   1.5010e+03  -2.4788e+03  | 840.000
Sim Anneal   5000  2.3707e+03   2.1168e+03   1.1883e+03   1.5478e+03  -2.4822e+03  | 800.000
Sim Anneal   6000  2.2065e+03   2.1746e+03   9.9281e+02   1.5323e+03  -2.4933e+03  | 760.000
Sim Anneal   7000  2.1727e+03   2.1425e+03   1.0005e+03   1.5137e+03  -2.4840e+03  | 720.000
Sim Anneal   8000  2.1158e+03   2.1624e+03   8.5311e+02   1.5894e+03  -2.4891e+03  | 680.000
Sim Anneal   9000  2.0581e+03   2.1064e+03   8.7843e+02   1.5630e+03  -2.4898e+03  | 640.000
Sim Anneal  10000  2.0719e+03   2.0738e+03   7.6920e+02   1.7198e+03  -2.4909e+03  | 600.000
Sim Anneal  11000  2.0799e+03   2.0813e+03   8.0100e+02   1.6884e+03  -2.4908e+03  | 560.000
Sim Anneal  12000  2.0730e+03   2.0875e+03   7.9073e+02   1.6875e+03  -2.4927e+03  | 520.000
Sim Anneal  13000  2.0703e+03   2.1066e+03   7.2941e+02   1.7320e+03  -2.4977e+03  | 480.000
Sim Anneal  14000  2.0677e+03   2.0971e+03   7.2473e+02   1.7451e+03  -2.4993e+03  | 440.000
Sim Anneal  15000  2.0544e+03   2.0749e+03   7.0968e+02   1.7624e+03  -2.4925e+03  | 400.000
Sim Anneal  16000  2.0506e+03   2.1351e+03   7.7968e+02   1.6242e+03  -2.4884e+03  | 360.000
Sim Anneal  17000  1.9979e+03   2.0904e+03   7.5588e+02   1.6404e+03  -2.4888e+03  | 320.000
Sim Anneal  18000  1.9709e+03   2.0537e+03   7.4070e+02   1.6677e+03  -2.4912e+03  | 280.000
Sim Anneal  19000  1.9702e+03   2.0518e+03   7.3950e+02   1.6695e+03  -2.4906e+03  | 240.000
Sim Anneal  20000  1.9594e+03   2.0429e+03   7.3713e+02   1.6689e+03  -2.4895e+03  | 200.000
