 STAGE_1 STEP 0      | E(total)= 425.7048   | AR= 0.0  %  | T= 0.0000  | E(ani)= 24.6755    | E(cls)= 401.0293  
 STAGE_1 STEP 0      | E(total)= 425.7048   | AR= NaN  %  | T= 0.0100  | E(ani)= 24.6755    | E(cls)= 401.0293  
 STAGE_1 STEP 1      | E(total)= 357.7083   | AR= 100.0%  | T= 0.0100  | E(ani)= 15.8291    | E(cls)= 341.8792  
 STAGE_1 STEP 2      | E(total)= 357.7083   | AR= 50.0 %  | T= 0.0100  | E(ani)= 15.8291    | E(cls)= 341.8792  
 STAGE_1 STEP 3      | E(total)= 357.7083   | AR= 33.3 %  | T= 0.0099  | E(ani)= 15.8291    | E(cls)= 341.8792  
 STAGE_1 STEP 4      | E(total)= 350.7490   | AR= 50.0 %  | T= 0.0099  | E(ani)= 10.8289    | E(cls)= 339.9201  
 STAGE_1 STEP 5      | E(total)= 350.7490   | AR= 40.0 %  | T= 0.0099  | E(ani)= 10.8289    | E(cls)= 339.9201  
 STAGE_1 STEP 6      | E(total)= 350.7490   | AR= 33.3 %  | T= 0.0098  | E(ani)= 10.8289    | E(cls)= 339.9201  
 STAGE_1 STEP 7      | E(total)= 327.4825   | AR= 42.9 %  | T= 0.0098  | E(ani)= 9.4111     | E(cls)= 318.0714  
 STAGE_1 STEP 8      | E(total)= 327.4825   | AR= 37.5 %  | T= 0.0098  | E(ani)= 9.4111     | E(cls)= 318.0714  
 STAGE_1 STEP 9      | E(total)= 316.3881   | AR= 44.4 %  | T= 0.0097  | E(ani)= 1.6021     | E(cls)= 314.7860  
 STAGE_1 STEP 10     | E(total)= 316.3881   | AR= 40.0 %  | T= 0.0097  | E(ani)= 1.6021     | E(cls)= 314.7860  
 STAGE_1 STEP 11     | E(total)= 289.3955   | AR= 45.5 %  | T= 0.0097  | E(ani)= 0.5553     | E(cls)= 288.8401  
 STAGE_1 STEP 12     | E(total)= 289.3955   | AR= 41.7 %  | T= 0.0096  | E(ani)= 0.5553     | E(cls)= 288.8401  
 STAGE_1 STEP 13     | E(total)= 289.3955   | AR= 38.5 %  | T= 0.0096  | E(ani)= 0.5553     | E(cls)= 288.8401  
 STAGE_1 STEP 14     | E(total)= 266.3457   | AR= 42.9 %  | T= 0.0096  | E(ani)= -2.6518    | E(cls)= 268.9974  
 STAGE_1 STEP 15     | E(total)= 261.2628   | AR= 46.7 %  | T= 0.0095  | E(ani)= -6.1488    | E(cls)= 267.4116  
 STAGE_1 STEP 16     | E(total)= 261.2628   | AR= 43.8 %  | T= 0.0095  | E(ani)= -6.1488    | E(cls)= 267.4116  
 STAGE_1 STEP 17     | E(total)= 261.2628   | AR= 41.2 %  | T= 0.0095  | E(ani)= -6.1488    | E(cls)= 267.4116  
 STAGE_1 STEP 18     | E(total)= 255.9665   | AR= 44.4 %  | T= 0.0094  | E(ani)= -13.0558   | E(cls)= 269.0223  
 STAGE_1 STEP 19     | E(total)= 255.9665   | AR= 42.1 %  | T= 0.0094  | E(ani)= -13.0558   | E(cls)= 269.0223  
 STAGE_1 STEP 20     | E(total)= 243.6928   | AR= 45.0 %  | T= 0.0094  | E(ani)= -13.8887   | E(cls)= 257.5815  
 STAGE_1 STEP 21     | E(total)= 243.6928   | AR= 42.9 %  | T= 0.0093  | E(ani)= -13.8887   | E(cls)= 257.5815  
 STAGE_1 STEP 22     | E(total)= 243.6928   | AR= 40.9 %  | T= 0.0093  | E(ani)= -13.8887   | E(cls)= 257.5815  
 STAGE_1 STEP 23     | E(total)= 243.6928   | AR= 39.1 %  | T= 0.0093  | E(ani)= -13.8887   | E(cls)= 257.5815  
 STAGE_1 STEP 24     | E(total)= 242.5054   | AR= 41.7 %  | T= 0.0092  | E(ani)= -13.9092   | E(cls)= 256.4145  
 STAGE_1 STEP 25     | E(total)= 242.5054   | AR= 40.0 %  | T= 0.0092  | E(ani)= -13.9092   | E(cls)= 256.4145  
 STAGE_1 STEP 26     | E(total)= 242.5054   | AR= 38.5 %  | T= 0.0092  | E(ani)= -13.9092   | E(cls)= 256.4145  
 STAGE_1 STEP 27     | E(total)= 242.5054   | AR= 37.0 %  | T= 0.0091  | E(ani)= -13.9092   | E(cls)= 256.4145  
 STAGE_1 STEP 28     | E(total)= 210.2502   | AR= 39.3 %  | T= 0.0091  | E(ani)= -3.7417    | E(cls)= 213.9919  
 STAGE_1 STEP 29     | E(total)= 207.5853   | AR= 41.4 %  | T= 0.0091  | E(ani)= -3.5363    | E(cls)= 211.1216  
 STAGE_1 STEP 30     | E(total)= 207.5853   | AR= 40.0 %  | T= 0.0090  | E(ani)= -3.5363    | E(cls)= 211.1216  
 STAGE_1 STEP 31     | E(total)= 207.5853   | AR= 38.7 %  | T= 0.0090  | E(ani)= -3.5363    | E(cls)= 211.1216  
 STAGE_1 STEP 32     | E(total)= 206.0144   | AR= 40.6 %  | T= 0.0090  | E(ani)= -4.9970    | E(cls)= 211.0114  
 STAGE_1 STEP 33     | E(total)= 206.0144   | AR= 39.4 %  | T= 0.0089  | E(ani)= -4.9970    | E(cls)= 211.0114  
 STAGE_1 STEP 34     | E(total)= 206.0144   | AR= 38.2 %  | T= 0.0089  | E(ani)= -4.9970    | E(cls)= 211.0114  
 STAGE_1 STEP 35     | E(total)= 206.0144   | AR= 37.1 %  | T= 0.0089  | E(ani)= -4.9970    | E(cls)= 211.0114  
 STAGE_1 STEP 36     | E(total)= 206.0144   | AR= 36.1 %  | T= 0.0088  | E(ani)= -4.9970    | E(cls)= 211.0114  
