Start:  1 | Cycle:  1 | Step:  100 | Energy:     -4.88105 | Acceptance Rate: 0.7200 (72  ) | Temperature: 0.0967 | Step size: 0.9670
Start:  1 | Cycle:  1 | Step:  200 | Energy:     -5.06804 | Acceptance Rate: 0.6750 (135 ) | Temperature: 0.0934 | Step size: 0.9337
Start:  1 | Cycle:  1 | Step:  300 | Energy:     -4.95287 | Acceptance Rate: 0.6567 (197 ) | Temperature: 0.0900 | Step size: 0.9003
Start:  1 | Cycle:  1 | Step:  400 | Energy:     -5.11986 | Acceptance Rate: 0.6800 (272 ) | Temperature: 0.0867 | Step size: 0.8670
Start:  1 | Cycle:  1 | Step:  500 | Energy:     -4.98455 | Acceptance Rate: 0.6680 (334 ) | Temperature: 0.0834 | Step size: 0.8337
Start:  1 | Cycle:  1 | Step:  600 | Energy:     -5.10289 | Acceptance Rate: 0.6600 (396 ) | Temperature: 0.0800 | Step size: 0.8003
Start:  1 | Cycle:  1 | Step:  700 | Energy:     -4.91446 | Acceptance Rate: 0.6471 (453 ) | Temperature: 0.0767 | Step size: 0.7670
Start:  1 | Cycle:  1 | Step:  800 | Energy:     -5.08674 | Acceptance Rate: 0.6338 (507 ) | Temperature: 0.0734 | Step size: 0.7337
Start:  1 | Cycle:  1 | Step:  100 | Energy:     -4.91856 | Acceptance Rate: 6.0200 (602 ) | Temperature: 0.0967 | Step size: 0.9670
Start:  1 | Cycle:  1 | Step:  200 | Energy:     -5.09100 | Acceptance Rate: 3.2800 (656 ) | Temperature: 0.0934 | Step size: 0.9337
Start:  1 | Cycle:  1 | Step:  300 | Energy:     -5.06104 | Acceptance Rate: 2.3767 (713 ) | Temperature: 0.0900 | Step size: 0.9003
Start:  1 | Cycle:  1 | Step:  400 | Energy:     -5.12184 | Acceptance Rate: 1.9500 (780 ) | Temperature: 0.0867 | Step size: 0.8670
Start:  1 | Cycle:  1 | Step:  500 | Energy:     -5.05087 | Acceptance Rate: 1.7040 (852 ) | Temperature: 0.0834 | Step size: 0.8337
Start:  1 | Cycle:  1 | Step:  600 | Energy:     -4.96804 | Acceptance Rate: 1.5167 (910 ) | Temperature: 0.0800 | Step size: 0.8003
Start:  1 | Cycle:  1 | Step:  700 | Energy:     -5.09208 | Acceptance Rate: 1.4071 (985 ) | Temperature: 0.0767 | Step size: 0.7670
Start:  1 | Cycle:  1 | Step:  800 | Energy:     -5.07503 | Acceptance Rate: 1.2875 (1030) | Temperature: 0.0734 | Step size: 0.7337
Start:  1 | Cycle:  1 | Step:  900 | Energy:     -5.05715 | Acceptance Rate: 1.2089 (1088) | Temperature: 0.0700 | Step size: 0.7003
Start:  1 | Cycle:  1 | Step: 1000 | Energy:     -5.01842 | Acceptance Rate: 1.1480 (1148) | Temperature: 0.0667 | Step size: 0.6670
Start:  1 | Cycle:  1 | Step: 1100 | Energy:     -5.07388 | Acceptance Rate: 1.1009 (1211) | Temperature: 0.0634 | Step size: 0.6337
Start:  1 | Cycle:  1 | Step: 1200 | Energy:     -5.00627 | Acceptance Rate: 1.0617 (1274) | Temperature: 0.0600 | Step size: 0.6003
Start:  1 | Cycle:  1 | Step: 1300 | Energy:     -5.11378 | Acceptance Rate: 1.0223 (1329) | Temperature: 0.0567 | Step size: 0.5670
Start:  1 | Cycle:  1 | Step: 1400 | Energy:     -5.05882 | Acceptance Rate: 0.9907 (1387) | Temperature: 0.0534 | Step size: 0.5337
Start:  1 | Cycle:  1 | Step: 1500 | Energy:     -5.10257 | Acceptance Rate: 0.9727 (1459) | Temperature: 0.0500 | Step size: 0.5003
